User,Copilot user,Date,Repository,Insertions,Deletions,Total lines,Files changed,Unit size (DMM),Complexity (DMM),Interface (DMM),Commits,Commit hash,Copilot period,Merge commit,Default branch,Org,Diff lines
User 03,True,2022-09-29,Repo 015,4,4,8,2,,,,1,Commit 222,before,False,True,navikt,0
User 03,True,2022-09-29,Repo 015,6,18,24,2,0.2857142857142857,0.0,0.0,1,Commit 223,before,False,True,navikt,-12
User 03,True,2022-09-29,Repo 015,9,12,21,2,0.0,0.0,0.0,1,Commit 224,before,False,True,navikt,-3
User 03,True,2022-09-29,Repo 015,2,6,8,3,,,,1,Commit 225,before,False,True,navikt,-4
User 03,True,2022-09-29,Repo 015,2,2,4,1,,,,1,Commit 226,before,False,True,navikt,0
User 03,True,2022-10-07,Repo 015,4,4,8,1,,,,1,Commit 227,before,False,True,navikt,0
User 03,True,2022-10-07,Repo 015,1,0,1,1,,,,1,Commit 228,before,False,True,navikt,1
User 03,True,2022-10-07,Repo 015,2,2,4,2,,,,1,Commit 229,before,False,True,navikt,0
User 03,True,2022-10-07,Repo 015,13,17,30,2,0.0,0.0,0.0,1,Commit 230,before,False,True,navikt,-4
User 03,True,2022-10-07,Repo 015,0,29,29,1,,,,1,Commit 231,before,False,True,navikt,-29
User 03,True,2022-11-07,Repo 015,1,1,2,1,,,,1,Commit 232,before,False,True,navikt,0
User 03,True,2022-11-07,Repo 015,1,1,2,1,,,,1,Commit 233,before,False,True,navikt,0
User 03,True,2022-11-29,Repo 015,3,1,4,1,1.0,1.0,1.0,1,Commit 234,before,False,True,navikt,2
User 03,True,2023-01-24,Repo 015,4,10,14,2,1.0,0.0,0.0,1,Commit 235,before,False,True,navikt,-6
User 03,True,2023-01-24,Repo 015,2,1,3,1,,,,1,Commit 236,before,False,True,navikt,1
User 03,True,2023-01-24,Repo 015,17,11,28,6,0.3333333333333333,1.0,1.0,1,Commit 237,before,False,True,navikt,6
User 03,True,2023-01-24,Repo 015,3,3,6,1,,,,1,Commit 238,before,False,True,navikt,0
User 03,True,2023-01-24,Repo 015,3,3,6,3,,,,1,Commit 239,before,False,True,navikt,0
User 03,True,2023-01-24,Repo 015,40,16,56,13,0.0,1.0,1.0,1,Commit 240,before,False,True,navikt,24
User 03,True,2023-01-24,Repo 015,19,18,37,7,0.0,1.0,1.0,1,Commit 241,before,False,True,navikt,1
User 03,True,2023-01-24,Repo 015,6,16,22,2,1.0,0.0,0.0,1,Commit 242,before,False,True,navikt,-10
User 03,True,2023-01-24,Repo 015,114,103,217,2,,,,1,Commit 243,before,False,True,navikt,11
User 03,True,2023-01-24,Repo 015,10,55,65,54,,,,1,Commit 244,before,False,True,navikt,-45
User 03,True,2023-01-24,Repo 015,55,70,125,2,,,,1,Commit 245,before,False,True,navikt,-15
User 03,True,2023-03-13,Repo 015,3,1,4,1,,,,1,Commit 246,before,False,True,navikt,2
User 03,True,2023-03-13,Repo 015,4,1,5,1,,,,1,Commit 247,before,False,True,navikt,3
User 03,True,2023-03-13,Repo 015,2,2,4,2,,,,1,Commit 248,before,False,True,navikt,0
User 03,True,2023-03-17,Repo 015,252,193,445,2,,,,1,Commit 249,before,False,True,navikt,59
User 03,True,2023-05-26,Repo 015,80,78,158,2,,,,1,Commit 250,before,False,True,navikt,2
User 03,True,2023-05-26,Repo 015,8,0,8,1,,,,1,Commit 251,before,False,True,navikt,8
